DATE,AAPL,IBM,TSLA,RM
1990/5/30,0.009146,0.009395,,0.000582
1990/5/31,-0.003021,-0.007239,,0.001025
1990/5/4,0,0.022517,,0.008404
1990/5/7,0.0375,0,,0.006324
1990/5/8,0.006024,0.002262,,0.004346
1990/5/9,0.002994,0.004515,,0.002485
1990/6/1,-0.012121,-0.004167,,0.005343
1990/6/11,0.019608,0.009474,,0.00814
1990/6/12,0.038462,0.003128,,0.012775
1990/6/13,-0.018519,0.009356,,-0.003686
1990/6/14,0,-0.004119,,-0.005481
1990/6/15,-0.006289,-0.004137,,0.000028
1990/6/18,-0.006329,-0.013499,,-0.016616
1990/6/19,0.009554,0,,0.004455
1990/6/20,0.009464,-0.006316,,0.001757
1990/6/21,0.046875,0.009534,,0.003815
1990/6/22,-0.008955,-0.024134,,-0.013982
1990/6/25,-0.006024,0.003226,,-0.008778
1990/6/26,-0.015152,0.001072,,-0.00071
1990/6/27,0.021538,0.010707,,0.008749
1990/6/28,0.036145,-0.003178,,0.007011
1990/6/29,0.040698,-0.001063,,0.001091
1990/6/4,0,0.007322,,0.011675
1990/6/5,-0.030675,0.003115,,-0.002069
1990/6/6,0,-0.001035,,-0.004582
1990/6/7,-0.012658,0,,-0.004959
1990/6/8,-0.019231,-0.015544,,-0.012226
1990/7/10,0.008043,-0.010504,,-0.008428
1990/7/11,0,0.011677,,0.013296
1990/7/12,0.007979,0.007345,,0.011655
1990/7/13,-0.013193,0.008333,,0.005117
1990/7/16,-0.024064,0.011364,,0.004465
1990/7/17,-0.030137,-0.013279,,-0.003876
1990/7/18,0.008475,-0.007246,,-0.008979
1990/7/19,-0.064426,0.001043,,0.00302
1990/7/2,-0.01676,0.008511,,0.004246
1990/7/20,-0.017964,-0.019792,,-0.010155
1990/7/23,0.012195,-0.014878,,-0.017422
1990/7/24,0.01506,-0.009709,,0.001351
1990/7/25,0.002967,0,,0.003654
1990/7/26,-0.02071,-0.014161,,-0.003304
1990/7/27,0,-0.01547,,-0.00694
1990/7/3,0,-0.007384,,0.001724
1990/7/30,0.024169,0.006734,,0.00597
1990/7/31,-0.00885,-0.005574,,0.001688
1990/7/5,-0.011364,-0.002125,,-0.012439
1990/7/6,0.028736,0.005325,,0.007704
1990/7/9,0.041899,0.008475,,0.003069
1990/8/1,0.008929,0.001121,,-0.001769
1990/8/10,-0.018987,-0.012107,,-0.013002
1990/8/13,0.029032,0.017157,,0.009895
1990/8/14,-0.003135,0.006024,,0.001623
1990/8/15,-0.012579,0.005988,,0.001974
1990/8/16,-0.019108,-0.011905,,-0.022555
1990/8/17,-0.051948,-0.022892,,-0.013719
1990/8/2,0.026549,-0.016797,,-0.011364
1990/8/20,0.009863,0.008631,,0.002074
1990/8/21,-0.013605,-0.017115,,-0.020243
1990/8/22,-0.031034,-0.014925,,-0.016498
1990/8/23,-0.017794,-0.021465,,-0.029979
1990/8/24,0.028986,0.036129,,0.014492
1990/8/27,0.06338,0.039851,,0.031877
1990/8/28,0.009934,-0.007186,,-0.000311
1990/8/29,-0.022951,0.002413,,0.008869
1990/8/3,-0.051724,-0.014806,,-0.018835
1990/8/30,-0.026846,-0.020457,,-0.016904
1990/8/31,0.02069,0.001229,,0.01208
1990/8/6,-0.042424,-0.028116,,-0.030244
1990/8/7,0,-0.008424,,0.001196
1990/8/8,0.015823,0.001214,,0.010513
1990/8/9,-0.015576,0.001212,,0.004699
1990/9/10,-0.017182,0.003555,,-0.005473
1990/9/11,-0.048951,0.015348,,-0.001834
1990/9/12,0,0.003488,,0.004672
1990/9/13,-0.007353,-0.026651,,-0.012061
1990/9/14,0.007407,-0.005952,,-0.005712
1990/9/17,-0.007353,0.007186,,0.002967
1990/9/18,-0.011111,0.020214,,0.002612
1990/9/19,-0.026217,0.01049,,-0.006277
1990/9/20,-0.026923,-0.004614,,-0.016172
1990/9/21,-0.003953,-0.010429,,-0.000514
1990/9/24,-0.039683,-0.016393,,-0.021618
1990/9/25,-0.008264,0.013095,,0.012049
1990/9/26,-0.008333,-0.009401,,-0.010381
1990/9/27,-0.05042,-0.00949,,-0.013407
1990/9/28,0.026549,0.019162,,0.016879
1990/9/4,0,0.006135,,0.001643
1990/9/5,-0.027027,-0.00122,,0.004024
1990/9/6,-0.006944,0,,-0.012115
1990/9/7,0.017483,0.030525,,0.009174
1991/1/10,0.041436,0.014035,,0.00976
1991/1/11,-0.002653,-0.002307,,0.002226
1991/1/14,-0.015957,-0.012717,,-0.008692
1991/1/15,0.010811,0.007026,,0.003968
1991/1/16,0.064171,0.015116,,0.007777
1991/1/17,0.030151,0.06071,,0.037322
1991/1/18,-0.019512,0.016199,,0.012989
1991/1/2,0.011628,-0.007743,,-0.011417
1991/1/21,0.00995,0.017003,,-0.003522
1991/1/22,0.009852,-0.013584,,-0.008307
1991/1/23,0.009756,0.010593,,0.005787
1991/1/24,0.007246,0.014675,,0.01384
1991/1/25,0.026379,0.01343,,0.003853
1991/1/28,0.018692,0.013252,,-0.000119
1991/1/29,-0.013761,0.002012,,-0.000565
1991/1/3,-0.011494,0.003344,,-0.013907
1991/1/30,0.032558,0.02008,,0.015096
1991/1/31,0,-0.001969,,0.008859
1991/1/4,0.005814,-0.003333,,-0.002827
1991/1/7,0,-0.016722,,-0.017321
1991/1/8,0,-0.011338,,-0.001712
1991/1/9,0.046243,-0.019495,,-0.010829
1991/10/1,0.025253,-0.00965,,0.003455
1991/10/10,-0.005208,0.025707,,0.009952
1991/10/11,0.015707,0.001253,,0.002365
1991/10/14,0.028351,0.013767,,0.01316
1991/10/15,0.052632,0.02963,,0.011747
1991/10/16,0.019048,-0.02518,,0.004578
1991/10/17,-0.021028,-0.01722,,-0.00224
1991/10/18,0.050119,0.005006,,0.00148
1991/10/2,-0.019704,-0.014616,,-0.002415
1991/10/21,-0.004545,-0.001245,,-0.006318
1991/10/22,-0.004566,-0.017456,,-0.005615
1991/10/23,-0.025229,0,,0.000284
1991/10/24,-0.018824,-0.002538,,-0.007398
1991/10/25,-0.016787,-0.002545,,-0.002259
1991/10/28,0.004878,0.002551,,0.013847
1991/10/29,0.004854,0.006361,,0.005032
1991/10/3,-0.040201,-0.021014,,-0.009762
1991/10/30,-0.038647,0.013906,,0.003781
1991/10/31,0.035176,-0.01995,,-0.001272
1991/10/4,0.010471,-0.007576,,-0.008401
1991/10/7,-0.002591,0.006361,,-0.004564
1991/10/8,0.002597,-0.00885,,0.003083
1991/10/9,-0.005181,-0.007653,,-0.010166
1991/11/1,-0.009709,0.001272,,-0.002905
1991/11/11,0.00939,-0.001247,,0.000585
1991/11/12,0.013953,-0.007491,,0.009208
1991/11/13,-0.006881,-0.005031,,0.001689
1991/11/14,0.011547,0.011378,,-0.000654
1991/11/15,-0.086758,-0.0375,,-0.036586
1991/11/18,0.0449,0.01039,,0.006848
1991/11/19,-0.016787,-0.007712,,-0.015107
1991/11/20,-0.014634,-0.010363,,-0.002346
1991/11/21,0.009901,-0.001309,,0.004042
1991/11/22,0.004902,-0.006553,,-0.010314
1991/11/25,0,0.003958,,-0.002127
1991/11/26,0.004878,0.028909,,0.00698
1991/11/27,-0.009709,-0.037037,,-0.003731
1991/11/29,-0.004902,-0.018568,,-0.003532
1991/11/4,-0.02451,-0.001677,,-0.002658
1991/11/5,-0.020101,-0.003866,,-0.004023
1991/11/6,-0.015385,0,,0.003241
1991/11/7,0.036458,0.033635,,0.009616
1991/11/8,0.070352,0.003755,,-0.002108
1991/12/10,0,0.013216,,-0.000952
1991/12/11,-0.002545,0.017391,,-0.000529
1991/12/12,0.007653,0.009972,,0.010193
1991/12/13,0.020253,-0.007052,,0.007653
1991/12/16,0.002481,-0.012784,,-0.000026
1991/12/17,0,-0.015827,,-0.004474
1991/12/18,0.024752,0.008772,,0.001933
1991/12/19,-0.019324,-0.015942,,-0.002503
1991/12/2,0.019704,-0.002703,,0.01647
1991/12/20,-0.009852,0.010309,,0.011816
1991/12/23,0.024876,0.029155,,0.025269
1991/12/24,0.014563,0,,0.006325
1991/12/26,0.050239,0,,0.013798
1991/12/27,0.002278,0.012748,,0.004002
1991/12/3,-0.024155,-0.01084,,-0.001154
1991/12/30,0.031818,0.011189,,0.021355
1991/12/31,-0.006608,-0.015214,,0.004697
1991/12/4,0,-0.013699,,-0.002336
1991/12/5,-0.009901,0.002778,,-0.007051
1991/12/6,-0.025,-0.01385,,0.004531
1991/12/9,0.007692,-0.043539,,-0.002216
1991/2/1,0.004505,0.000986,,-0.002559
1991/2/11,0.025052,0.022201,,0.025685
1991/2/12,-0.022403,0.002833,,-0.008356
1991/2/13,0,0.014124,,0.009631
1991/2/14,-0.047917,0.002786,,-0.013007
1991/2/15,0.010853,0.017593,,0.013289
1991/2/19,0.041215,0.015469,,0.000894
1991/2/20,0.016667,-0.011649,,-0.011505
1991/2/21,-0.032787,-0.017226,,-0.000466
1991/2/22,0.012712,-0.016605,,0.001863
1991/2/25,-0.029289,0.002814,,0.004403
1991/2/26,0.00431,-0.028999,,-0.012117
1991/2/27,0,0.008671,,0.013588
1991/2/28,-0.017167,-0.016237,,-0.001822
1991/2/4,-0.008969,0.013478,,0.01542
1991/2/5,0.045249,0.008832,,0.008383
1991/2/6,-0.015152,0.0107,,0.019387
1991/2/7,0.015385,-0.010587,,-0.004329
1991/2/8,0.036797,0.007782,,0.007938
1991/3/1,0.008734,0.017476,,0.009263
1991/3/11,-0.023077,-0.01619,,-0.005307
1991/3/12,-0.009843,-0.016457,,-0.007856
1991/3/13,0.053678,0.016732,,0.012269
1991/3/14,-0.015094,-0.007744,,-0.002857
1991/3/15,0.015326,-0.011707,,0.000241
1991/3/18,0.022642,0.009872,,-0.003962
1991/3/19,0.02583,-0.099707,,-0.014834
1991/3/20,-0.02518,-0.008686,,0.003628
1991/3/21,-0.04428,-0.019715,,-0.003642
1991/3/22,-0.023166,-0.002235,,0.002455
1991/3/25,0.019763,0.016797,,0.006395
1991/3/26,0.085271,0.003304,,0.017495
1991/3/27,-0.010714,-0.008782,,-0.002525
1991/3/28,-0.018051,0.008859,,-0.000346
1991/3/4,0.010823,-0.002863,,-0.003077
1991/3/5,0.08137,0.02201,,0.020009
1991/3/6,-0.00198,-0.004682,,-0.00146
1991/3/7,0.06746,-0.002822,,-0.000691
1991/3/8,-0.033457,-0.009434,,-0.002554
1991/4/1,0.007353,-0.01427,,-0.010447
1991/4/10,-0.027273,0,,-0.001098
1991/4/11,0.061682,-0.005618,,0.012006
1991/4/12,0.010563,-0.019209,,0.007335
1991/4/15,-0.132404,-0.014977,,0.002077
1991/4/16,0.032129,0.022222,,0.016868
1991/4/17,-0.015564,0.005721,,0.007301
1991/4/18,-0.035573,-0.001138,,-0.005097
1991/4/19,-0.022541,-0.002278,,-0.010966
1991/4/2,0.062044,0.008909,,0.022085
1991/4/22,0.031447,-0.009132,,-0.008459
1991/4/23,0,-0.001152,,0.002126
1991/4/24,-0.012195,-0.001153,,0.002619
1991/4/25,-0.037037,-0.002309,,-0.00917
1991/4/26,0.002137,-0.005787,,-0.000606
1991/4/29,-0.006397,-0.023283,,-0.014142
1991/4/3,-0.037801,-0.001104,,-0.001476
1991/4/30,-0.055794,-0.017878,,0.004523
1991/4/4,0.021429,0.003315,,0.00219
1991/4/5,-0.02972,-0.007709,,-0.011612
1991/4/8,0.009009,0.00333,,0.008792
1991/4/9,-0.017857,-0.015487,,-0.013469
1991/5/1,-0.140909,0.009709,,0.013161
1991/5/10,0.009852,-0.023613,,-0.019596
1991/5/13,0.029268,0.024184,,0.002715
1991/5/14,0.014218,0.001181,,-0.013643
1991/5/15,-0.056075,-0.03066,,-0.008207
1991/5/16,-0.029703,0.013382,,0.009822
1991/5/17,-0.040816,-0.003601,,0.000537
1991/5/2,0.037037,0.018029,,0.000605
1991/5/20,-0.055957,-0.004819,,-0.000295
1991/5/21,0.022599,-0.016949,,0.008246
1991/5/22,0.022099,0.030788,,0.002238
1991/5/23,-0.024324,0,,-0.003243
1991/5/24,0.01662,0.003584,,0.006721
1991/5/28,0.002725,0.00119,,0.011788
1991/5/29,0.021739,-0.009512,,0.002225
1991/5/3,0,-0.021251,,0.000736
1991/5/30,0.013298,0.002401,,0.010894
1991/5/31,-0.013123,0.016766,,0.007417
1991/5/6,0.02551,0.009264,,-0.001891
1991/5/7,0.007463,-0.01451,,-0.007262
1991/5/8,-0.017284,0.018405,,0.003154
1991/5/9,0.020101,0.020482,,0.012523
1991/6/10,-0.00271,0.003676,,-0.002267
1991/6/11,-0.029891,-0.001221,,0.006551
1991/6/12,-0.05042,-0.007335,,-0.011547
1991/6/13,-0.0059,-0.008621,,0.002602
1991/6/14,-0.023739,-0.002484,,0.01234
1991/6/17,0.021277,-0.008717,,-0.00565
1991/6/18,0.002976,0.013819,,-0.004051
1991/6/19,-0.008902,0.001239,,-0.009245
1991/6/20,0.005988,-0.018564,,0.00088
1991/6/21,0,0.005044,,0.006206
1991/6/24,-0.005952,-0.012547,,-0.018028
1991/6/25,0.01497,0.010165,,-0.000782
1991/6/26,0.014749,-0.007547,,0.002536
1991/6/27,-0.011628,-0.010139,,0.007562
1991/6/28,-0.023529,-0.005122,,-0.008654
1991/6/3,0.047872,0.002356,,-0.00454
1991/6/4,-0.002538,-0.012926,,-0.000825
1991/6/5,-0.022901,-0.016667,,-0.006834
1991/6/6,-0.028646,-0.002421,,-0.003791
1991/6/7,-0.010724,-0.009709,,-0.010948
1991/7/1,0.024096,0.01287,,0.018213
1991/7/10,0.008,-0.007538,,-0.000984
1991/7/11,-0.010582,-0.005063,,0.003274
1991/7/12,0,0.01145,,0.008701
1991/7/15,-0.026738,-0.001258,,0.005628
1991/7/16,-0.038462,-0.026448,,-0.002223
1991/7/17,-0.028571,-0.003881,,-0.000944
1991/7/18,0.055882,0.020779,,0.010992
1991/7/19,0.02507,0.022901,,-0.002984
1991/7/2,-0.005882,0.007624,,-0.001191
1991/7/22,0,0.014925,,-0.003488
1991/7/23,-0.021739,-0.01348,,-0.009037
1991/7/24,0,0.001242,,-0.002056
1991/7/25,0.005556,-0.002481,,0.006127
1991/7/26,-0.008287,0,,-0.000079
1991/7/29,0.013928,0.008706,,0.005828
1991/7/3,0.02071,-0.010088,,-0.010968
1991/7/30,0.021978,0.002466,,0.009239
1991/7/31,-0.005376,-0.00369,,0.002896
1991/7/5,0.057971,0.005096,,0.002009
1991/7/8,0.024658,0.019011,,0.010319
1991/7/9,0.002674,-0.00995,,-0.004842
1991/8/1,0.062162,0,,-0.001779
1991/8/12,0.019704,-0.002528,,0.002325
1991/8/13,0.033816,0.003802,,0.004123
1991/8/14,0.025701,-0.005051,,0.000719
1991/8/15,-0.029613,-0.001269,,-0.001462
1991/8/16,0,-0.01906,,-0.009632
1991/8/19,-0.04939,-0.015544,,-0.023627
1991/8/2,0.017812,-0.009877,,0.000155
1991/8/20,0.009901,0.007895,,0.007863
1991/8/21,0.053922,-0.001305,,0.029413
1991/8/22,0.009302,-0.013072,,0.001895
1991/8/23,-0.023041,0.005298,,0.007257
1991/8/26,0,0.002635,,-0.000812
1991/8/27,0.018868,0.001314,,-0.002006
1991/8/28,-0.013889,-0.007874,,0.009108
1991/8/29,-0.004695,0.010582,,-0.000429
1991/8/30,0,0.014398,,-0.002623
1991/8/5,-0.03,0.007481,,-0.005475
1991/8/6,0.020619,0.005792,,0.014439
1991/8/7,0.017677,-0.013699,,-0.000154
1991/8/8,0.002481,0.002525,,-0.003175
1991/8/9,0.00495,-0.003778,,-0.005651
1991/9/10,-0.058685,-0.013614,,-0.01032
1991/9/11,0.007481,0.017566,,0.001378
1991/9/12,0.002475,0.025894,,0.005843
1991/9/13,-0.039506,-0.010817,,-0.009681
1991/9/16,-0.028278,0.00729,,0.005709
1991/9/17,0.037037,0.012063,,-0.000726
1991/9/18,0.022959,0.004768,,0.003735
1991/9/19,-0.007481,-0.004745,,0.001602
1991/9/20,0.017588,-0.005959,,0.000929
1991/9/23,-0.022222,0.003597,,-0.005156
1991/9/24,0.015152,0.011947,,0.004638
1991/9/25,0.004975,-0.008264,,-0.002141
1991/9/26,-0.009901,-0.00119,,-0.001008
1991/9/27,-0.02,-0.02503,,-0.001527
1991/9/3,-0.009434,0.011613,,-0.008295
1991/9/30,0.010204,0.013447,,0.005079
1991/9/4,-0.019048,0.006378,,-0.005559
1991/9/5,-0.009709,-0.003802,,-0.002128
1991/9/6,0.009804,0.01145,,-0.000103
1991/9/9,0.033981,0.016352,,-0.001362
1992/1/10,0,-0.00411,,-0.00601
1992/1/13,-0.004016,-0.006878,,-0.001831
1992/1/14,0.040323,0.023546,,0.014722
1992/1/15,-0.015504,0.032476,,0.000785
1992/1/16,-0.011811,0.001311,,-0.006084
1992/1/17,0.031873,0.009162,,0.001554
1992/1/2,0.055432,0.014045,,0.000408
1992/1/20,-0.011583,-0.011673,,-0.005969
1992/1/21,-0.044922,-0.024934,,-0.008935
1992/1/22,0.038855,0.02961,,0.013305
1992/1/23,0.015748,-0.022222,,-0.007581
1992/1/24,0.001938,-0.004011,,0.001253
1992/1/27,-0.001934,0.006711,,-0.001179
1992/1/28,0.011628,-0.005333,,-0.000072
1992/1/29,-0.030651,-0.014745,,-0.011134
1992/1/3,-0.008403,0.001385,,0.004985
1992/1/30,0.007905,-0.001361,,0.003144
1992/1/31,0.015686,-0.019074,,-0.006899
1992/1/6,-0.016949,0.020747,,-0.003291
1992/1/7,0.019397,0.025745,,-0.00134
1992/1/8,0.023256,-0.023778,,0.001677
1992/1/9,0.028926,-0.012179,,-0.001172
1992/10/1,-0.019391,-0.00774,,-0.003614
1992/10/12,0.014409,0,,0.011871
1992/10/13,0.03125,0.003185,,0.004565
1992/10/14,0.013774,-0.009524,,0.000171
1992/10/15,-0.01087,-0.065705,,0.000562
1992/10/16,0.076923,-0.02916,,0.0052
1992/10/19,0,-0.031802,,0.007894
1992/10/2,-0.011299,-0.020281,,-0.013981
1992/10/20,0.002551,-0.001825,,0.001205
1992/10/21,-0.012723,0.001828,,0.000457
1992/10/22,0.005155,0,,-0.001852
1992/10/23,0,0.009124,,-0.001928
1992/10/26,0.05641,-0.023508,,0.009804
1992/10/27,0,-0.025926,,0.000789
1992/10/28,0.014563,0.020913,,0.003919
1992/10/29,0.019139,-0.01676,,0.001738
1992/10/30,-0.014085,0.013258,,-0.00518
1992/10/5,-0.005714,0.004777,,-0.007065
1992/10/6,0.028736,0.011094,,-0.000957
1992/10/7,-0.022346,-0.017241,,-0.007196
1992/10/8,-0.005714,0.012759,,0.008658
1992/10/9,-0.002874,-0.011024,,-0.012483
1992/11/10,0.0181,-0.024074,,0.000072
1992/11/11,0.008889,-0.013283,,0.008552
1992/11/12,0.002203,-0.013462,,0.001587
1992/11/13,-0.010989,0.011696,,-0.001041
1992/11/16,0.02,0,,-0.004143
1992/11/17,-0.037037,-0.009634,,-0.003352
1992/11/18,0.045249,-0.01751,,0.008539
1992/11/19,0.008658,-0.029703,,0.001797
1992/11/2,-0.004762,0.029907,,0.009721
1992/11/20,-0.012876,0.016327,,0.007176
1992/11/23,-0.013043,0.016064,,-0.003586
1992/11/24,0.013216,0.025692,,0.00581
1992/11/25,-0.017391,0.007707,,0.003742
1992/11/27,0,0.00956,,0.00226
1992/11/3,-0.004785,0.00363,,-0.006694
1992/11/30,0.019823,0.034091,,0.002766
1992/11/4,0.009615,-0.012658,,-0.006692
1992/11/5,0.047619,-0.01707,,0.002949
1992/11/6,0.013636,0.005693,,-0.001817
1992/11/9,-0.008969,0.018868,,0.002419
1992/12/1,0.013043,-0.007326,,-0.001321
1992/12/10,-0.006508,-0.013972,,-0.002318
1992/12/11,0.004367,0.010121,,-0.002094
1992/12/14,-0.004348,0.008016,,-0.002052
1992/12/15,-0.015284,-0.107356,,-0.000624
1992/12/16,-0.02439,-0.075724,,-0.002427
1992/12/17,0.034091,0.021687,,0.009061
1992/12/18,0.024176,-0.03066,,0.013435
1992/12/2,-0.017167,0.001845,,-0.002066
1992/12/21,0.023605,-0.048662,,-0.001314
